sold time,time since transaction link,nft,nft link,price,usd,attributes,seller,seller link,buyer,buyer link
13 days ago,https://etherscan.io/tx/0xdde3b99d323471ba3a9baf2a26358b253437d47875db9d25d18b70d1197c6182,Star Flower #608 ,https://cryptoslam.io/art-blocks/mint/52000608,0.17900 ETH,$651.79,"Atomic Structure: coalu, Family: prosperatur, Breed Type: clone",0xc7d430d97b86fad363139f98874ffc2eeb582fdd,https://cryptoslam.io/owner/0xc7d430d97b86fad363139f98874ffc2eeb582fdd,0x10b54d8e8e7ea708e5c71915401261f92e03b376,https://cryptoslam.io/owner/0x10b54d8e8e7ea708e5c71915401261f92e03b376
13 days ago,https://etherscan.io/tx/0x98ce274ef7a5ab3c6b12ad2136c72040aa594ff60a3da9b335f0713550f63365,Bloom #74 ,https://cryptoslam.io/art-blocks/mint/168000074,0.25000 ETH,$910.32,,0x507fc313f9d50ce32ff94e67df48f7b0935d016a,https://cryptoslam.io/owner/0x507fc313f9d50ce32ff94e67df48f7b0935d016a,0x9e2a644167e557d6c7eb41279b337a4aa7ef17a2,https://cryptoslam.io/owner/0x9e2a644167e557d6c7eb41279b337a4aa7ef17a2
13 days ago,https://etherscan.io/tx/0xeb312f12ede7c7b4719eafa5240be93a78b361f94b01b5be19197a506f8c4e05,Blaschke Ballet #398 ,https://cryptoslam.io/art-blocks/mint/167000398,0.37500 ETH,"$1,365.48",,0x9e6175554793faf335e400f4e3ed5b5d57595a7c,https://cryptoslam.io/owner/0x9e6175554793faf335e400f4e3ed5b5d57595a7c,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x15bb2776e44935ca5b7f75225408cca53e4b82ca65bdf7ce04341184b91dc05e,Blaschke Ballet #216 ,https://cryptoslam.io/art-blocks/mint/167000216,0.40000 ETH,"$1,456.52",,0x73bc3326cba9a38fec73e7180f59085a5d1619a9,https://cryptoslam.io/owner/0x73bc3326cba9a38fec73e7180f59085a5d1619a9,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x2ecf43f21b17e296dde16763e3e0a08497782129385b37cd829bf7e396a92807,Blaschke Ballet #131 ,https://cryptoslam.io/art-blocks/mint/167000131,0.34000 ETH,"$1,238.04",,0x5d120e0929dbbf2315c97a4d93067e2dd9128ce4,https://cryptoslam.io/owner/0x5d120e0929dbbf2315c97a4d93067e2dd9128ce4,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x014fa3a8cacc7c2139633bed12a8958457e6e21fabf820283bd94a56e502eb28,Blaschke Ballet #202 ,https://cryptoslam.io/art-blocks/mint/167000202,0.36900 ETH,"$1,343.64",,0x514fc379b4ae674f74dac2a266aff608a9b6507f,https://cryptoslam.io/owner/0x514fc379b4ae674f74dac2a266aff608a9b6507f,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x901561fe308de67107cd41aa11143febb00e48f8707a45d3ad49adce783bb193,PrimiLife #812 ,https://cryptoslam.io/art-blocks/mint/150000812,0.13000 ETH,$473.37,"Palette: Pizza Crush, Colors: Tritone, Background: Tertiary, Wireframe: Nope, Debris: Nope, Speed: Quick, Spin: Clockwise, Children: Single, Baby: Nope",0xe54c65316e8967c25c1357773b5e85bc063b7efd,https://cryptoslam.io/owner/0xe54c65316e8967c25c1357773b5e85bc063b7efd,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x89480195a1645d7b0272a4705bb575eb6b139682cd1143aaf1d3a012c327e50e,Augmented Sequence #19 ,https://cryptoslam.io/art-blocks/mint/169000019,0.12500 ETH,$455.16,,0xa3b11d1f06d71eaa9cd3d0142f08e7ace9b474ec,https://cryptoslam.io/owner/0xa3b11d1f06d71eaa9cd3d0142f08e7ace9b474ec,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0x05d31dfa49e22e91f69ed5540fc054ad4206ec0671f8b5f7bb1fd3ce7ae1e41a,spawn #216 ,https://cryptoslam.io/art-blocks/mint/161000216,0.08500 ETH,$309.51,,0x16b9acfd374474fab6cda050896719c8bbd0d70a,https://cryptoslam.io/owner/0x16b9acfd374474fab6cda050896719c8bbd0d70a,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
13 days ago,https://etherscan.io/tx/0xb99e92b732f2f0979d2d2597caa2caeebe6b8270452b59f47777c8b285bc178a,a heart and a soul #93 ,https://cryptoslam.io/art-blocks/mint/158000093,0.12500 ETH,$455.16,,0x31d08a68629bd2b8d00fedab78b0081783bf17a8,https://cryptoslam.io/owner/0x31d08a68629bd2b8d00fedab78b0081783bf17a8,0xc2b46c60afe93cda3855f67fcda6d6844723ddb8,https://cryptoslam.io/owner/0xc2b46c60afe93cda3855f67fcda6d6844723ddb8
